taxid,name,rank,lineage_name,lineage_id,son_of
559531,Moroteuthopsis sp. ARL-2008,species,//Oegopsina//Onychoteuthidae//Moroteuthopsis//Moroteuthopsis sp. ARL-2008,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//559528//559531,559528
559530,Notonykia,genus,//Oegopsina//Onychoteuthidae//Notonykia,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//559530,34565
2306963,Notonykia africanae,species,//Oegopsina//Onychoteuthidae//Notonykia//Notonykia africanae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//559530//2306963,559530
2306964,Notonykia nesisi,species,//Oegopsina//Onychoteuthidae//Notonykia//Notonykia nesisi,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//559530//2306964,559530
559533,Notonykia sp. ARL-2008,species,//Oegopsina//Onychoteuthidae//Notonykia//Notonykia sp. ARL-2008,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//559530//559533,559530
559552,Ancistroteuthis,genus,//Oegopsina//Onychoteuthidae//Ancistroteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//559552,34565
559553,Ancistroteuthis lichtensteinii,species,//Oegopsina//Onychoteuthidae//Ancistroteuthis//Ancistroteuthis lichtensteinii,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//559552//559553,559552
61726,Onychoteuthis,genus,//Oegopsina//Onychoteuthidae//Onychoteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//61726,34565
2053941,Onychoteuthis cf. banksii HJ-2017,species,//Oegopsina//Onychoteuthidae//Onychoteuthis//Onychoteuthis cf. banksii HJ-2017,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//61726//2053941,61726
2163882,Onychoteuthis cf. banksii AL-2018,species,//Oegopsina//Onychoteuthidae//Onychoteuthis//Onychoteuthis cf. banksii AL-2018,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//61726//2163882,61726
2163883,Onychoteuthis sp. AL2,species,//Oegopsina//Onychoteuthidae//Onychoteuthis//Onychoteuthis sp. AL2,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//61726//2163883,61726
